"target","stage","GEO","genomeVer","replicate","url"
"H3K79me3","L3","GSE26183","WS190","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM656nnn/GSM656314/suppl/GSM656314_AB2621_H3K79ME3_361576_N2_L3_1_A_MA2Cscore.wig.gz"
"H3K79me3","L3","GSE26183","WS190","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM656nnn/GSM656315/suppl/GSM656315_AB2621_H3K79ME3_361576_N2_L3_2_A_MA2Cscore.wig.gz"
"H3K9me2","L3","GSE22733","WS180","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562740/suppl/GSM562740_HK00008_H3K9ME26D11_N2_L3_1.wig.gz"
"H3K9me2","L3","GSE22733","WS180","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562741/suppl/GSM562741_HK00008_H3K9ME26D11_N2_L3_2.wig.gz"
"H3K9me3","L3","GSE22728","WS180","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562730/suppl/GSM562730_HK00009_H3K9ME32F3_N2_L3_1.wig.gz"
"H3K9me3","L3","GSE22728","WS180","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM562nnn/GSM562731/suppl/GSM562731_HK00009_H3K9ME32F3_N2_L3_2.wig.gz"
"H4K20me1","L3","GSE25358","WS180","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM624nnn/GSM624438/suppl/GSM624438_AB9051_H4K20ME1104513_N2_L3_1.wig.gz"
"H4K20me1","L3","GSE25358","WS180","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM624nnn/GSM624439/suppl/GSM624439_AB9051_H4K20ME1104513_N2_L3_2.wig.gz"
"H4K8ac","L3","GSE25356","WS180","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM624nnn/GSM624434/suppl/GSM624434_AB15823_H4K8AC487128_N2_L3_1.wig.gz"
"H4K8ac","L3","GSE25356","WS180","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM624nnn/GSM624435/suppl/GSM624435_AB15823_H4K8AC487128_N2_L3_2.wig.gz"
"HTZ-1","L3","GSE49717","ce6","rep1","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1206nnn/GSM1206282/suppl/GSM1206282_HTZ1_JA00001_IL1_F_N2_L3_aligned_linear_10bp_IL010_P7f02637.wig.gz"
"HTZ-1","L3","GSE49717","ce6","rep2","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1206nnn/GSM1206283/suppl/GSM1206283_HTZ1_JA00001_IL2_F_N2_L3_aligned_linear_10bp_IL009_Pe402635.wig.gz"
